MENU,SOLID,LIQUID,SEASONING,TOOL,PROCEDURE,POLICY0,POLICY1,POLICY2,POLICY3,RANK1,RANK2,RANK3,ING_PRO
Tomato sauce pasta,"['pasta', 'tomato can', 'onion']",['water'],"['garlic', 'olive oil', 'consomme']",['pan'],"['Start', 'Cut the onion', 'Put the olive oil,and onion to the pan', 'Put the pan on medium heat until onions are colored', 'Put the tomato can to the pan', 'Put the consomme and water to the pan,and mix it', 'Put the pasta to the pan,and mix it', 'Put the cheese to the pan', 'Put the basil to the pan', 'Finish']","[[0.0, 0.2871, 0.1426, 0.1426, 0.1426, 0.1426, 0.1426, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2871, 0.1426, 0.1426, 0.1426, 0.1426, 0.0, 0.0, 0.1426], [0.0, 0.1426, 0.0, 0.2871, 0.1426, 0.1426, 0.1426, 0.0, 0.0, 0.1426], [0.0, 0.1426, 0.1426, 0.0, 0.2871, 0.1426, 0.1426, 0.0, 0.0, 0.1426], [0.0, 0.1426, 0.1426, 0.1426, 0.0, 0.2871, 0.1426, 0.0, 0.0, 0.1426], [0.0, 0.1426, 0.1426, 0.1426, 0.1426, 0.0, 0.2871, 0.0, 0.0, 0.1426], [0.0, 0.1426, 0.1426, 0.1426, 0.1426, 0.1426, 0.0, 0.0, 0.0, 0.2871], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.     0.2234 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.    ]
 [0.     0.     0.2234 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109]
 [0.     0.1109 0.     0.2234 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109]
 [0.     0.1109 0.1109 0.     0.2234 0.1109 0.1109 0.1109 0.1109 0.1109]
 [0.     0.1109 0.1109 0.1109 0.     0.2234 0.1109 0.1109 0.1109 0.1109]
 [0.     0.1109 0.1109 0.1109 0.1109 0.     0.2234 0.1109 0.1109 0.1109]
 [0.     0.1109 0.1109 0.1109 0.1109 0.1109 0.     0.2234 0.1109 0.1109]
 [0.     0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.     0.1109 0.2234]
 [0.     0.125  0.125  0.125  0.125  0.125  0.125  0.125  0.     0.125 ]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]]","[[0.     0.3487 0.093  0.093  0.093  0.093  0.093  0.093  0.093  0.    ]
 [0.     0.     0.3487 0.093  0.093  0.093  0.093  0.093  0.093  0.093 ]
 [0.     0.093  0.     0.3487 0.093  0.093  0.093  0.093  0.093  0.093 ]
 [0.     0.093  0.093  0.     0.3487 0.093  0.093  0.093  0.093  0.093 ]
 [0.     0.093  0.093  0.093  0.     0.3487 0.093  0.093  0.093  0.093 ]
 [0.     0.093  0.093  0.093  0.093  0.     0.3487 0.093  0.093  0.093 ]
 [0.     0.1013 0.1013 0.1013 0.1013 0.1013 0.     0.1885 0.2039 0.1013]
 [0.     0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.     0.1109 0.2234]
 [0.     0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.1109 0.     0.2234]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]]","[[0.     0.4741 0.0751 0.0751 0.0751 0.0751 0.0751 0.0751 0.0751 0.    ]
 [0.     0.     0.4741 0.0751 0.0751 0.0751 0.0751 0.0751 0.0751 0.0751]
 [0.     0.0751 0.     0.4741 0.0751 0.0751 0.0751 0.0751 0.0751 0.0751]
 [0.     0.0751 0.0751 0.     0.4741 0.0751 0.0751 0.0751 0.0751 0.0751]
 [0.     0.0751 0.0751 0.0751 0.     0.4741 0.0751 0.0751 0.0751 0.0751]
 [0.     0.0751 0.0751 0.0751 0.0751 0.     0.4741 0.0751 0.0751 0.0751]
 [0.     0.0877 0.0877 0.0877 0.0877 0.0877 0.     0.3093 0.1644 0.0877]
 [0.     0.1013 0.1013 0.1013 0.1013 0.1013 0.1013 0.     0.2039 0.1885]
 [0.     0.093  0.093  0.093  0.093  0.093  0.093  0.093  0.     0.3487]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.    ]]",cheese,basil,,"{'Tomato sauce pasta': {'cheese': ['Put the cheese to the pan'], 'basil': ['Put the basil to the pan']}}"
Cream sauce pasta,"['pasta', 'onion', 'garlic', 'bacon']","['water', 'milk']","['consomme', 'salt', 'flour', 'olive oil']",['pan'],"['Start', 'Cut the onion', 'Cut the bacon', 'Put the olive oil,onion,bacon and garlic to the pan', 'Put the pan on high heat,until onions are colored', 'Put the flour,and mix it', 'Put the milk to the pan', 'Put the consomme and water to the pan,and mix it', 'Put the butter to the pan', 'Put the pasta to the pan,and mix it', 'Put the parsley to the pan', 'Finish']","[[0.0, 0.2797, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.1029, 0.0, 0.0], [0.0, 0.0, 0.2797, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.0, 0.2797, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.1029, 0.0, 0.2797, 0.1029, 0.1029, 0.1029, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.1029, 0.1029, 0.0, 0.2797, 0.1029, 0.1029, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.2797, 0.1029, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.2797, 0.0, 0.1029, 0.0, 0.1029], [0.0, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.0, 0.2797, 0.0, 0.1029], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.1029, 0.0, 0.0, 0.0, 0.2797], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.     0.1828 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908
  0.0908 0.    ]
 [0.     0.     0.1828 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.     0.1828 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.     0.1828 0.0908 0.0908 0.0908 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.     0.1828 0.0908 0.0908 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.0908 0.     0.1828 0.0908 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.     0.1828 0.0908 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.     0.1828 0.0908
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.     0.1828
  0.0908 0.0908]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.
  0.0908 0.1828]
 [0.     0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.1
  0.     0.1   ]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.    ]]","[[0.     0.297  0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781
  0.0781 0.    ]
 [0.     0.     0.297  0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781
  0.0781 0.0781]
 [0.     0.0781 0.     0.297  0.0781 0.0781 0.0781 0.0781 0.0781 0.0781
  0.0781 0.0781]
 [0.     0.0781 0.0781 0.     0.297  0.0781 0.0781 0.0781 0.0781 0.0781
  0.0781 0.0781]
 [0.     0.0781 0.0781 0.0781 0.     0.297  0.0781 0.0781 0.0781 0.0781
  0.0781 0.0781]
 [0.     0.0781 0.0781 0.0781 0.0781 0.     0.297  0.0781 0.0781 0.0781
  0.0781 0.0781]
 [0.     0.0781 0.0781 0.0781 0.0781 0.0781 0.     0.297  0.0781 0.0781
  0.0781 0.0781]
 [0.     0.084  0.084  0.084  0.084  0.084  0.084  0.     0.1586 0.1692
  0.084  0.084 ]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.     0.1828
  0.0908 0.0908]
 [0.     0.084  0.084  0.084  0.084  0.084  0.084  0.084  0.084  0.
  0.1692 0.1586]
 [0.     0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908 0.0908
  0.     0.1828]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.    ]]","[[0.     0.4219 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642
  0.0642 0.    ]
 [0.     0.     0.4219 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.0642 0.     0.4219 0.0642 0.0642 0.0642 0.0642 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.0642 0.0642 0.     0.4219 0.0642 0.0642 0.0642 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.0642 0.0642 0.0642 0.     0.4219 0.0642 0.0642 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.0642 0.0642 0.0642 0.0642 0.     0.4219 0.0642 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.0642 0.0642 0.0642 0.0642 0.0642 0.     0.4219 0.0642 0.0642
  0.0642 0.0642]
 [0.     0.074  0.074  0.074  0.074  0.074  0.074  0.     0.2672 0.1405
  0.074  0.074 ]
 [0.     0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.     0.297
  0.0781 0.0781]
 [0.     0.0735 0.0735 0.0735 0.0735 0.0735 0.0735 0.0735 0.0735 0.
  0.2807 0.1316]
 [0.     0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781 0.0781
  0.     0.297 ]
 [0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.    ]]",butter,parsley,,"{'cream pasta': {'butter': ['Put the butter to the pan'], 'parsley': ['Put the parsley to the pan']}}"
